timestamp,MSE
18.339,939.1112
18.391,933.9578
18.439,928.40155
18.489,921.294
18.54,925.72375
18.589,919.1847
18.645,920.2027
18.695,922.48773
18.741,931.964
18.791,939.4739
18.839,924.011
18.89,943.5086
18.939,938.9039
18.99,932.972
19.044,947.74524
19.09,931.67175
19.139,934.0859
19.19,962.6763
19.24,956.2332
19.29,963.59625
19.34,948.4277
19.39,952.57513
19.444,936.7638
19.492,943.7059
19.541,946.1659
19.589,953.3909
19.64,959.8386
19.692,966.17303
19.761,969.962
19.797,967.2708
19.843,966.9269
19.89,970.15094
19.943,973.0637
19.992,983.3575
20.039,990.3245
20.092,997.6616
20.138,1004.31616
20.19,1011.73285
20.244,1022.7691
20.292,1025.102
20.343,1017.34766
20.393,1022.0779
20.443,1027.3097
20.49,1032.7369
20.544,1031.7867
20.59,1032.969
20.647,1035.2974
20.692,1040.4309
20.742,1055.5048
20.792,1068.0579
20.838,1079.2885
20.891,1086.72
20.938,1089.9164
20.999,1099.1796
21.043,1108.3218
21.091,1115.7927
21.142,1120.8202
21.192,1127.1708
21.24,1134.7178
21.297,1146.4006
21.342,1153.6483
21.398,1165.6007
21.444,1170.256
21.489,1184.1229
21.541,1201.6769
21.592,1213.6875
21.642,1224.7681
21.693,1231.2919
21.742,1233.9648
21.798000000000002,1240.7137
21.847,1247.7631
21.893,1260.3375
21.942,1275.1665
21.992,1279.6868
22.047,1291.0977
22.092,1294.8727
22.147,1308.9503
22.198,1335.8147
22.245,1338.5363
22.293,1369.8829
22.342,1376.6095
22.393,1394.6897
22.443,1407.8224
22.492,1422.9644
22.543,1441.0626
22.598,1436.3518
22.646,1445.1421
22.694,1439.701
22.744,1427.801
22.793,1418.3115
22.842,1399.7261
22.895,1389.2026
22.947,1384.465
22.997,1389.4158
23.042,1393.9226
23.092,1403.6212
23.143,1420.6084
23.193,1427.057
23.241,1425.7495
23.294,1419.5363
23.349,1447.1619
23.398,1435.0687
23.442,1460.1697
23.493,1480.2352
23.542,1480.02
23.592,1445.3483
23.646,1420.2677
23.696,1424.6626
23.746,1406.7842
23.797,1399.0538
23.846,1405.4338
23.892,1407.4147
23.942,1359.917
23.99,1366.274
24.044,1324.5002
24.098,1331.0107
24.149,1273.572
24.198,1292.9612
24.243,1312.7587
24.292,1330.9893
24.342,1345.9338
24.395,1378.284
24.444,1379.6935
24.494,1395.9365
24.548000000000002,1387.4906
24.598,1387.332
24.642,1353.3077
24.692,1375.1396
24.742,1404.1084
24.792,1419.4573
24.845,1365.4006
24.895,1294.7902
24.945,1287.1608
24.997,1354.6147
25.045,1400.7642
25.092,1381.5524
25.141,1389.41
25.192,1429.5458
25.245,1454.2234
25.293,1463.5693
25.348,1454.0492
25.398,1433.8174
25.446,1409.6528
25.492,1372.1244
25.541,1333.9491
25.59,1296.343
25.644,1288.2479
25.697,1307.3208
25.747,1311.9775
25.797,1306.0554
25.844,1295.1711
25.892,1312.8884
25.942,1315.2573
25.991,1330.5565
26.044,1338.1414
26.095,1345.0375
26.148,1343.5414
26.197,1332.7819
26.245,1312.0905
26.291,1278.418
26.341,1260.8577
26.393,1259.8038
26.443,1248.1694
26.495,1254.9823
26.549,1270.6783
26.596,1288.1317
26.641,1296.8724
26.69,1311.3971
26.741,1316.8655
26.792,1319.9929
26.844,1330.2257
26.894,1332.165
26.948,1336.9259
26.996,1341.9366
27.044,1339.8196
27.091,1339.3384
27.14,1334.126
27.191,1319.804
27.255,1307.6711
27.293,1291.8788
27.345,1278.5735
27.396,1273.2045
27.443,1261.0686
27.49,1259.2086
27.54,1257.339
27.59,1250.3925
27.641,1239.1464
27.696,1218.6508
27.744,1203.5354
27.796,1195.3195
27.841,1189.1014
27.891,1186.837
27.942,1189.1404
27.99,1200.0958
28.042,1207.3506
28.095,1219.6935
28.147,1230.6144
28.197,1260.7881
28.241,1271.3455
28.292,1290.5922
28.34,1299.5725
28.39,1298.3989
28.443,1311.2041
28.494,1329.364
28.545,1330.4485
28.594,1338.8472
28.641,1342.2849
28.691,1347.9462
28.741,1343.1523
28.791,1345.3486
28.844,1347.6366
28.893,1344.8671
28.945,1340.0675
28.994,1334.7603
29.041,1330.2146
29.095,1328.6648
29.139,1324.818
29.189,1321.4875
29.24,1298.3029
29.294,1289.6649
29.344,1274.1587
29.393,1251.7393
29.442,1248.2565
29.49,1244.8146
29.543,1241.839
29.592,1253.5726
29.646,1270.018
29.694,1286.0116
29.742,1305.061
29.792,1330.119
29.84,1341.8947
29.89,1362.7002
29.941,1376.857
29.993,1385.3783
30.043,1406.1636
30.094,1413.251
30.145,1418.0487
30.193,1427.2335
30.239,1434.9244
30.293,1445.8097
30.342,1444.8901
30.39,1426.7125
30.446,1410.3097
30.496,1386.8716
30.543,1332.4187
30.594,1332.3666
30.639,1257.8966
30.69,1240.3643
30.741,1219.5798
30.789,1209.5854
30.845,1219.4734
30.894,1257.4843
30.942,1297.4619
30.991,1312.2974
31.042,1350.6659
31.092,1354.5173
31.142,1359.7037
31.193,1377.9777
31.246,1377.1935
31.293,1379.2147
31.345,1386.4083
31.39,1395.0604
31.442,1394.1711
31.49,1402.6553
31.542,1413.8276
31.59,1407.6885
31.642,1395.3423
31.694,1409.1907
31.744,1408.422
31.792,1403.7944
31.842,1422.3578
31.89,1428.9498
31.94,1407.3428
31.991,1403.8861
32.044,1401.1765
32.094,1369.9323
32.143,1354.2198
32.192,1326.6578
32.241,1306.125
32.292,1289.5596
32.342,1301.6685
32.396,1297.9669
32.444,1293.9935
32.493,1286.0865
32.543,1293.9805
32.593,1316.6509
32.642,1325.3568
32.69,1358.1133
32.742,1402.9586
32.789,1438.4749
32.842,1484.9329
32.893,1508.7201
32.945,1509.2461
32.991,1515.3081
33.042,1519.0581
33.092,1514.4623
33.142,1506.8088
33.195,1487.7249
33.243,1479.425
33.292,1450.4124
33.343,1422.947
33.392,1415.3326
33.442,1407.5404
33.491,1412.789
33.545,1409.1477
33.594,1395.817
33.644,1374.3253
33.692,1349.5067
33.742,1323.4474
33.793,1300.8586
33.842,1291.943
33.891,1293.8654
33.942,1288.4469
33.996,1300.367
34.043,1314.328
34.093,1337.997
34.142,1346.7666
34.191,1351.5835
34.243,1348.0579
34.291,1344.1469
34.341,1348.0162
34.395,1347.8518
34.443,1333.3134
34.492,1332.6039
34.541,1331.104
34.592,1329.1963
34.64,1323.5072
34.692,1318.8024
34.741,1324.9349
34.794,1308.7487
34.843,1305.5624
34.891,1298.6912
34.941,1283.5961
34.992,1278.8694
35.042,1273.6366
35.091,1275.0712
35.143,1274.3354
35.193,1281.0906
35.243,1282.0608
35.292,1294.9111
35.343,1304.0906
35.391,1313.7249
35.441,1336.1818
35.493,1345.788
35.543,1350.6112
35.594,1359.7476
35.643,1360.5092
35.691,1350.9525
35.742,1349.8298
35.791,1340.0104
35.84,1348.817
35.891,1340.9386
35.946,1340.0659
35.995,1335.9111
36.042,1335.1326
36.092,1341.3577
36.143,1347.7943
36.191,1354.0182
36.241,1356.354
36.291,1357.1594
36.345,1367.1018
36.395,1371.2772
36.442,1368.7642
36.492,1368.3248
36.542,1367.1161
36.59,1366.3297
36.64,1365.6898
36.691,1368.9491
36.745,1363.1572
36.793,1366.5405
36.842,1368.4432
36.892,1368.0615
36.94,1367.3987
36.99,1365.8623
37.04,1361.9392
37.091,1356.5143
37.145,1355.1188
37.193,1350.3044
37.242,1346.2208
37.291,1348.4614
37.34,1341.6163
37.391,1347.296
37.441,1340.343
37.491,1344.822
37.543,1342.4272
37.593,1352.2716
37.643,1357.66
37.69,1369.5815
37.741,1377.9421
37.79,1378.7625
37.84,1382.6724
37.892,1385.7291
37.943,1407.2697
37.992,1407.1635
38.04,1397.3639
38.09,1386.0625
38.141,1385.006
38.191,1380.718
38.24,1368.9108
38.29,1371.87
38.343,1363.986
38.393,1356.6548
38.44,1350.1022
38.491,1347.3916
38.541,1340.5732
38.59,1340.6998
38.639,1340.1162
38.691,1338.3174
38.743,1338.821
38.794,1339.0437
38.841,1344.8513
38.891,1348.2849
38.94,1346.606
38.989,1347.7577
39.041,1355.0248
39.093,1362.2037
39.142,1372.8921
39.192,1369.1179
39.24,1377.3956
39.291,1414.854
39.341,1425.8522
39.389,1417.236
39.439,1430.5363
39.49,1407.0988
39.546,1420.3531
39.591,1434.1849
39.64,1398.743
39.69,1394.3102
39.739,1396.6294
39.791,1399.9398
39.841,1374.7206
39.894,1367.633
39.942,1350.8431
39.991,1353.4557
40.042,1334.9548
40.09,1302.9414
40.14,1304.715
40.189,1316.0883
40.242,1302.5632
40.294,1313.7192
40.342,1318.1774
40.391,1332.624
40.441,1341.6903
40.489,1343.6959
40.54,1350.5422
40.59,1342.8954
40.641,1341.3737
40.692,1357.8743
40.742,1367.4393
40.792,1366.136
40.839,1401.2689
40.891,1374.2557
40.941,1401.2361
40.99,1377.4427
41.04,1384.173
41.092,1376.0592
41.143,1322.4862
41.193,1265.043
41.239,1232.4779
41.289,1211.5128
41.342,1230.6382
41.391,1229.5618
41.442,1253.2225
41.492,1305.093
41.542,1333.1539
41.591,1354.1261
41.64,1346.511
41.69,1345.2521
41.74,1337.6783
41.788,1338.8495
41.841,1352.952
41.892,1329.2502
41.943,1350.423
41.991,1363.9014
42.039,1360.17
42.089,1363.4954
42.139,1358.1014
42.192,1348.0553
42.246,1337.079
42.291,1338.315
42.34,1352.056
42.391,1347.692
42.442,1355.9259
42.49,1362.7295
42.54,1324.42
42.592,1310.4133
42.643,1266.7622
42.695,1242.5044
42.741,1213.4741
42.791,1193.1667
42.839,1182.753
42.889,1189.9869
42.941,1212.1788
42.992,1235.5623
43.042,1251.4053
43.091,1301.2688
43.14,1315.978
43.191,1338.6425
43.239,1355.647
43.29,1346.0165
43.342,1350.7764
43.392,1357.9247
43.446,1344.3501
43.494,1338.0784
43.541,1343.0295
43.589,1340.1708
43.64,1339.886
43.692,1351.8165
43.739,1355.4637
43.79,1343.9855
43.845,1336.2102
43.893,1326.9655
43.944,1294.9899
43.989,1268.2115
44.041,1234.4644
44.089,1174.2275
44.14,1122.4529
44.195,1075.7219
44.244,1055.5205
44.293,1044.2667
44.339,1040.74
44.389,1051.2965
44.44,1081.6516
44.494,1117.981
44.543,1156.144
44.596,1216.2057
44.644,1242.1333
44.693,1274.6594
44.74,1303.9061
44.79,1304.0167
44.841,1317.4056
44.893,1323.1748
44.939,1327.3556
44.997,1327.4475
45.045,1325.7803
45.09,1325.9563
45.142,1326.4115
45.19,1322.4922
45.239,1316.5544
45.289,1315.2944
45.34,1300.4814
45.397,1281.4054
45.446,1227.5907
45.49,1174.0618
45.54,1115.1176
45.59,1065.6334
45.64,1016.94366
45.692,1000.741
45.74,990.7056
45.797,988.4585
45.845,996.06976
45.893,995.94836
45.943,1011.58154
45.992,1031.2545
46.042,1070.7655
46.093,1120.0441
46.138,1151.7206
46.195,1203.0154
46.246,1233.5052
46.29,1261.0303
46.343,1283.9407
46.388,1300.2628
46.443,1303.6055
46.489,1302.4429
46.543,1302.2712
46.597,1303.8712
46.643,1300.4811
46.692,1299.2339
46.742,1297.3267
46.791,1277.238
46.839,1253.2787
46.892,1234.1748
46.947,1184.2449
46.997,1142.9677
47.044,1073.6372
47.094,1008.2814
47.142,933.11145
47.192,894.9702
47.243,861.2137
47.293,823.22656
47.343,801.3097
47.398,791.6192
47.442,796.0778
47.492,824.3114
47.544,871.9742
47.593,921.85535
47.641,999.8906
47.692,1061.6803
47.742,1137.5198
47.796,1188.6619
47.844,1249.6578
47.893,1272.3976
47.945,1285.1904
47.995,1291.4672
48.042,1294.9213
48.092,1289.1787
48.146,1288.4396
48.196,1289.1654
48.245,1288.2557
48.292,1254.9841
48.343,1234.8302
48.392,1198.4006
48.442,1148.44
48.492,1094.8098
48.546,1028.3209
48.596,957.86316
48.642,894.7444
48.691,834.6282
48.743,793.72095
48.794,772.2415
48.845,750.8426
48.895,751.03827
48.95,766.8647
48.996,795.87683
49.044,847.56067
49.092,908.1536
49.143,961.6245
49.196,1015.789
49.242,1074.311
49.292,1129.8478
49.348,1175.4205
49.396,1216.75
49.444,1246.7264
49.492,1261.6554
49.544,1264.0659
49.594,1263.7229
49.643,1251.5448
49.694,1242.6445
49.746,1232.5161
49.794,1220.7047
49.842,1192.154
49.892,1162.8295
49.942,1138.8741
49.993,1094.711
50.043,1033.1105
50.097,976.5212
50.15,918.7995
50.195,863.86914
50.243,823.5511
50.293,810.21716
50.342,807.5519
50.392,807.3017
50.445,817.2261
50.493,844.8442
50.544,887.2784
50.595,916.62854
50.642,955.05664
50.692,990.0085
50.743,1033.3463
50.792,1085.7365
50.844,1129.9388
50.899,1166.1302
50.946,1198.9691
50.994,1216.4532
51.042,1230.4984
51.092,1230.1545
51.143,1238.8568
51.192,1233.5045
51.243,1232.6693
51.299,1221.3005
51.349,1207.8107
51.392,1178.3209
51.443,1151.3564
51.491,1114.2222
51.542,1068.3644
51.591,1007.58636
51.642,958.989
51.693,923.8989
51.749,894.7066
51.794,881.5142
51.842,871.7581
51.891,864.17535
51.941,881.277
51.991,907.7599
52.044,931.13855
52.094,960.59064
52.147,980.37915
52.195,1014.2743
52.241,1051.3663
52.291,1087.8752
52.341,1124.0916
52.39,1159.624
52.442,1191.5687
52.498,1216.1992
52.547,1238.1105
52.593,1239.1377
52.64,1248.7297
52.691,1251.5331
52.74,1253.1091
52.792,1246.322
52.842,1225.2537
52.898,1199.0765
52.947,1168.4924
52.993,1121.965
53.042,1080.8572
53.092,1042.7888
53.141,1024.9689
53.19,1007.3786
53.243,1010.5026
53.295,991.31274
53.347,984.6841
53.394,973.91473
53.441,963.74567
53.491,958.3161
53.541,954.70026
53.59,953.8957
53.642,942.6757
53.697,958.0035
53.745,986.6208
53.793,1020.14404
53.84,1055.36
53.89,1084.7444
53.941,1122.7311
53.99,1162.427
54.042,1181.4891
54.096,1216.2227
54.145,1228.2946
54.192,1235.7354
54.241,1230.2261
54.291,1233.9742
54.339,1207.2484
54.393,1185.651
54.441,1153.344
54.492,1113.2985
54.545,1094.6576
54.592,1077.1212
54.641,1062.2915
54.692,1073.0518
54.741,1065.3998
54.791,1058.7333
54.84,1058.3173
54.895,1052.2228
54.945,1045.2714
54.992,1028.5376
55.041,1030.4429
55.091,1025.9757
55.141,1022.2122
55.189,1025.6537
55.245,1025.5981
55.297,1012.2957
55.347,1037.6189
55.392,1047.7589
55.441,1060.5883
55.49,1087.4965
55.542,1105.108
55.592,1117.7126
55.647,1137.3455
55.693,1139.6373
55.745,1148.5956
55.791,1155.1948
55.841,1151.0887
55.891,1135.1465
55.939,1133.5393
55.992,1114.5768
56.046,1125.4852
56.095,1111.0049
56.144,1103.1274
56.191,1103.548
56.24,1097.4861
56.291,1089.3569
56.34,1084.6829
56.396,1080.8119
56.443,1080.9156
56.494,1088.2386
56.543,1080.7257
56.591,1081.389
56.641,1078.1982
56.689,1079.3464
56.74,1078.0262
56.798,1083.1306
56.846,1087.2605
56.896,1091.9244
56.945,1095.2765
56.99,1106.9894
57.044,1109.8583
57.092,1116.3795
57.143,1123.7212
57.192,1118.9459
57.244,1125.0718
57.292,1116.0706
57.345,1120.7306
57.392,1123.148
57.443,1123.0615
57.491,1117.1866
57.54,1113.1444
57.591,1102.929
57.645,1095.6053
57.692,1082.5157
57.744,1086.2596
57.792,1071.6873
57.839,1066.2013
57.89,1063.1755
57.941,1057.725
57.993,1063.7896
58.045,1072.1617
58.094,1078.769
58.145,1079.1362
58.193,1083.4193
58.24,1088.4467
58.292,1091.5565
58.343,1089.3761
58.397,1092.8296
58.442,1100.3188
58.492,1105.6145
58.543,1104.7417
58.595,1102.4894
58.643,1100.0347
58.69,1096.1235
58.74,1098.1415
58.792,1090.2883
58.844,1087.9172
58.895,1080.43
58.943,1071.7657
58.992,1069.308
59.041,1067.6337
59.09,1055.6487
59.143,1049.0214
59.196,1042.9987
59.243,1038.4961
59.295,1044.2661
59.343,1042.9913
59.393,1046.0961
59.44,1050.095
59.491,1057.0403
59.54,1063.9695
59.596,1074.9164
59.645,1084.7462
59.694,1093.4655
59.742,1103.9175
59.792,1113.0638
59.842,1124.7054
59.891,1127.0656
59.942,1138.9875
59.997,1132.2999
60.044,1134.5681
60.094,1135.7891
60.143,1136.3074
60.193,1132.9998
60.242,1127.6211
60.294,1122.9788
60.342,1118.1405
60.395,1104.7424
60.443,1092.9882
60.493,1075.7755
60.543,1064.3807
60.589,1035.009
60.646,1022.17334
60.693,999.24146
60.746,978.8532
60.793,953.4925
60.843,926.54297
60.892,904.8769
60.942,900.55054
60.99,892.40466
61.042,894.34174
61.091,907.95874
61.146,918.97345
61.195,938.47156
61.243,951.5808
61.293,968.0442
61.343,993.0854
61.392,1008.89166
61.441,1035.4026
61.493,1046.9469
61.546,1073.3533
61.594,1104.5142
61.643,1130.9404
61.691,1152.9476
61.742,1183.0844
61.791,1203.5585
61.841,1220.4474
61.891,1224.614
61.947,1222.2312
61.993,1211.5696
62.044,1196.105
62.091,1166.9869
62.141,1136.6139
62.19,1082.7449
62.242,1041.0432
62.292,992.21136
62.346,957.44946
62.394,922.53674
62.442,905.3191
62.493,887.9831
62.541,870.7571
62.59,870.1328
